label	text
0	@mkomov Максим, Вашем письмо мы получили. Наши сотрудники свяжутся с Вами завтра и направят запрос инженерам для проверки. #билайн
0	«Мегафон» стал владельцем 50% акций «Евросети»
-1	RT @fuckkiev: “@EvaKobb: МТС Россия прислала жителям Херсонщины сообщения, в которых обозвала украинцев фашистами? http://t.co/RbSesXlOUZ” …
1	ВИДЕО: http://t.co/PSMLAhR4fI Реклама со смехом МТС - Супер 0
-1	@parfenov1960 потому что МТС достало, а пчел ненавижу с детства, как и их мёд!
-1	RT @f_u_c_k_y_o_u_: Билайн интернет стал полным говном
0	На Дне города в Тюмени «МегаФон» разыграет смартфон за лучшее селфи
0	&amp;laquo;Ростелеком&amp;raquo; стал партнером всероссийского конкурса &amp;laquo;Поколение i&amp;raquo; на создание лучшего интернет-проекта для детей, о
0	RT @parfenov1960: Сотовый оператор Мегафон проводит конкурс с розыгрышем 50 iPhone 5s. Для участия нужно... http://t.co/8SZYFgjtMe
1	«МегаФон» поможет контролировать расходы на Интернет за границей
-1	@parfenov1960 Фуфло эт ваш Мегафон.просит много,дает мало.
0	"@vinylanarchist Ну давай ты позвонишь как будешь в парке, а я подойду
или наоборот
у тя мтс ?"
0	За 7 месяцев Tele2 провела 90 городских мероприятий, в которых участвовали 85 тыс. человек
0	@Beeline_RUS То есть новый номер только в офисе и из тех, что есть в офисе? Заранее никак?
-1	Вот если и хаять сеть, то МТС! Просто адский оператор какой-то!
-1	RT @51evgen: @EvaKobb давайте откажемся от МТС,у меня 4 номера Я ГОТОВ!
0	«Ростелеком» традиционно выступил партнером XIV Международного праздника Огурца в Суздале. Мероприятие, участниками которого стали более 14
1	УрБК, Екатеринбург, 22.07.2014. ОАО «МегаФон» стало предоставлять услуги сверхскоростной мобильной связи 4G+ еще в 14 населенных пунктах Св
1	«МегаФон» представил новую возможность сэкономить в роуминге
-1	@imerkouri враньё! #Мегафон ГЭ! Проверено!
0	RT @parfenov1960: Подписаться на мой аккаунт, сделать ретвит данного сообщения и сказать, почему Вы выбираете Мегафон. Желаю удачи. http://…
0	@maxbeylis @korobkov другим бизнесменам помогали ! МТС при продаже ГИ Каримова должна било предлогат с начало Государство . Как стратегик
0	Билайн ставрополь справка http://t.co/9R3xJ6DqzV
-1	Что объединяет #МТС и #МГТС ? Нет,не то, что они в одной группе компаний,а одинаково низкое качество услуг и поддержки
0	@Grajdansky @megafonru @lexandrGurkin мы не можем работать бесплатно, а @rus_fas нас не накажет. Ведь мы ввели платные услуги по блок.спама
0	"Леонид Парфенов снялся в рекламе планшетного интернета от ""Мегафон"" | АБН | Агентство Бизнес Новостей http://t.co/FTisq1k15d"
0	@Beeline_RUS Забавно. Сообщает минуты и трафик,смс не сообщает (но смс меня не интересует). Спасибо.
-1	"#Траффик на Билайне уходит неумолимо :(
#Билайн #Москва http://t.co/KGRzUG10xO"
-1	"RT @owihycady: Новая реклама от пчелайна: - ""Просто пополняйте счет, и говорите бесплатно!"". Я один вижу здесь какой-то подвох?"
0	МТС проведет экскурсию дополненной реальности во Львове
0	#RT МТС приглашает на экскурсию по местам боевой славы Донецка
-1	@ru_mts вот утомили вы своей хитрожопостью, но пока альтернативы в местности нет, буду Вас заебывать.
0	Мегафон рассказал о правилах путешествия с телефоном - Тюменская линия
